상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시군구명,법정동명,경도,위도
세종미래산업단지,,부동산,분양,건물분양-종합,세종특별자치시,조치원읍,127.2908988,36.59108787
수네일,,생활서비스,이/미용/건강,발/네일케어,세종특별자치시,도담동,127.2607075,36.51311183
쎈수학러닝센터학원,,학문/교육,학원-보습교습입시,학원-입시,세종특별자치시,보람동,127.2904947,36.47757728
세종중앙트라이,,소매,의복의류,셔츠/내의/속옷,세종특별자치시,종촌동,127.2476344,36.50267511
스무디킹,,음식,커피점/카페,커피전문점/카페/다방,세종특별자치시,어진동,127.2588568,36.50112316
베리힐,,음식,커피점/카페,생과일주스전문점,세종특별자치시,나성동,127.2590119,36.48484807
토닭토닭,,음식,닭/오리요리,후라이드/양념치킨,세종특별자치시,다정동,127.2453284,36.49528857
불닭발동대문엽기떡볶이,세종보람점,음식,분식,떡볶이전문,세종특별자치시,보람동,127.2892712,36.47836308
바빈스,커피보람뜰점,음식,커피점/카페,커피전문점/카페/다방,세종특별자치시,보람동,127.290456,36.47692817
커피동굴,,음식,커피점/카페,커피전문점/카페/다방,세종특별자치시,어진동,127.2615067,36.50419472
세종이원에어컨,,생활서비스,개인/가정용품수리,에어컨수리/설치,세종특별자치시,고운동,127.2308756,36.51315754
한스,닭갈비,음식,한식,한식/백반/한정식,세종특별자치시,조치원읍,127.2922615,36.6046321
세종바이크,,소매,운동/경기용품소매,자전거판매,세종특별자치시,아름동,127.2488474,36.51230776
오봉자싸롱,세종종촌점,음식,유흥주점,호프/맥주,세종특별자치시,종촌동,127.2493844,36.50410104
스테이크하우스까사비노,,음식,양식,스테이크전문점,세종특별자치시,나성동,127.2576856,36.49050851
루몽,,소매,의복의류,일반의류,세종특별자치시,종촌동,127.2530833,36.50486326
손톱깎이,,생활서비스,이/미용/건강,발/네일케어,세종특별자치시,고운동,127.2342204,36.52155135
더젊은족발,세종점,음식,한식,족발/보쌈전문,세종특별자치시,조치원읍,127.2894902,36.61429455
다이소,세종첫마을점,소매,종합소매점,잡화점,세종특별자치시,나성동,127.2568361,36.49063841
뚱보아저씨수제돈가스,소담점,음식,양식,돈가스전문점,세종특별자치시,소담동,127.3014758,36.48501408
플랜비커피로스터즈,반곡점,음식,커피점/카페,커피전문점/카페/다방,세종특별자치시,반곡동,127.3035374,36.49159605
집밥연구소찬미찬가,,소매,음/식료품소매,반찬가게,세종특별자치시,고운동,127.2374552,36.51847189
고운뜰샤브앤구이,,음식,별식/퓨전요리,샤브샤브전문,세종특별자치시,아름동,127.241889,36.51261521
가장맛있는족발,세종고운점,음식,한식,한식/백반/한정식,세종특별자치시,고운동,127.2326014,36.51815238
청춘방앗간,,생활서비스,세탁/가사서비스,방앗간/정미소,세종특별자치시,조치원읍,127.2995302,36.60056554
현대인력개발,,생활서비스,인력/고용/용역알선,인력공급/고용알선,세종특별자치시,전의면,127.2073393,36.67941041
원조감자탕,,음식,한식,해장국/감자탕,세종특별자치시,연동면,127.3428155,36.53768204
투다리,대평동점,음식,유흥주점,꼬치구이전문점,세종특별자치시,대평동,127.2770901,36.47421638
정우축산,,소매,음/식료품소매,육류소매,세종특별자치시,조치원읍,127.3014608,36.6009013
제주어멍해장국,,음식,한식,해장국/감자탕,세종특별자치시,나성동,127.258194,36.49103438
베스킨라빈스,세종한솔점,음식,패스트푸드,아이스크림판매,세종특별자치시,한솔동,127.251953,36.47613428
톨비스트,세종조치원점,소매,운동/경기용품소매,골프용품판매,세종특별자치시,조치원읍,127.2984633,36.60111801
점프셈교실,마나비야세종일본어,학문/교육,학원-어학,학원-외국어/어학,세종특별자치시,나성동,127.256488,36.48851837
폴앤바나바스,,음식,양식,정통양식/경양식,세종특별자치시,조치원읍,127.2900917,36.61087356
세종탑어학원다정캠퍼스,,학문/교육,학원-어학,학원-외국어/어학,세종특별자치시,다정동,127.248543,36.49529084
신황제공인중개사사무소,,부동산,부동산중개,부동산중개,세종특별자치시,장군면,127.216258,36.50020205
헤어갤러리,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,반곡동,127.311931,36.49661049
점프셈교실,세종컴퓨터,학문/교육,학원-컴퓨터,컴퓨터학원,세종특별자치시,한솔동,127.2545931,36.48010716
쏘블리뷰티,,생활서비스,이/미용/건강,비만/피부관리,세종특별자치시,새롬동,127.2518434,36.48404632
노나이불,세종점,소매,가정/주방/인테리어,침구/수예품,세종특별자치시,도담동,127.2607075,36.51311183
아이더,세종어반아트리움,소매,의복의류,캐쥬얼/스포츠의류,세종특별자치시,나성동,127.2610032,36.4878705
스파크존,,생활서비스,이/미용/건강,비만/피부관리,세종특별자치시,보람동,127.2892712,36.47836308
진미장원,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,조치원읍,127.289886,36.59184787
카페베네,세종청사복지부점,음식,커피점/카페,커피전문점/카페/다방,세종특별자치시,어진동,127.2616561,36.50139285
수연피부샵,,생활서비스,이/미용/건강,비만/피부관리,세종특별자치시,다정동,127.2494146,36.49518818
갈비예술,,음식,한식,한식/백반/한정식,세종특별자치시,금남면,127.2841656,36.45592809
대성상회,,소매,음/식료품소매,청과물소매,세종특별자치시,조치원읍,127.3003408,36.59991242
PPO뮤직아카데미,,학문/교육,학원-음악미술무용,피아노/바이올린/기타,세종특별자치시,고운동,127.2360641,36.5191389
백년김치건강찬,가재마을점,소매,종합소매점,시장/종합상가,세종특별자치시,종촌동,127.2445695,36.50216908
가온남성컷트전문점,,생활서비스,이/미용/건강,남성미용실,세종특별자치시,다정동,127.2448039,36.49297813
신사의초밥,,음식,일식/수산물,음식점-일식,세종특별자치시,보람동,127.28885,36.47682849
점프셈교실,시드니,학문/교육,학원-보습교습입시,학원-입시,세종특별자치시,반곡동,127.3117397,36.49805135
60계치킨세종,아름점,음식,닭/오리요리,후라이드/양념치킨,세종특별자치시,아름동,127.2495712,36.51134801
사과나무,,음식,커피점/카페,커피전문점/카페/다방,세종특별자치시,연서면,127.2761957,36.59662303
송탄주원부대찌개,,음식,한식,부대찌개/섞어찌개,세종특별자치시,한솔동,127.2555588,36.47365142
도쿄스테이크,,음식,일식/수산물,음식점-일식,세종특별자치시,대평동,127.2768048,36.47369194
구릉농원,,소매,선물/팬시/기념품,꽃집/꽃배달,세종특별자치시,연서면,127.2651572,36.5691047
다일산업,,소매,애견/애완/동물,애견/애완/동물사육판매,세종특별자치시,소담동,127.3009274,36.4851821
아트PC방,,관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,세종특별자치시,조치원읍,127.2988478,36.59321669
에브리데이리테일세종도담점,,소매,종합소매점,수퍼마켓,세종특별자치시,도담동,127.2626836,36.51781941
두리정보통신,,소매,가전제품소매,전화기판매,세종특별자치시,어진동,127.2621847,36.4950966
명동칼국수세종,,음식,분식,국수/만두/칼국수,세종특별자치시,어진동,127.2628424,36.49636237
신사헤어,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,나성동,127.2589423,36.48981337
제주할망집,,음식,한식,한정식전문,세종특별자치시,새롬동,127.2524967,36.48459115
에브리선데이,,음식,커피점/카페,커피전문점/카페/다방,세종특별자치시,금남면,127.3489471,36.49899017
올포유,조치원점,소매,의복의류,캐쥬얼/스포츠의류,세종특별자치시,조치원읍,127.2987729,36.60149834
금강낚시할인마트,,소매,운동/경기용품소매,낚시용품판매,세종특별자치시,장군면,127.2251638,36.49927789
호식이두마리치킨,보람점,음식,닭/오리요리,후라이드/양념치킨,세종특별자치시,보람동,127.2892712,36.47836308
닥치고곱창,,음식,한식,곱창/양구이전문,세종특별자치시,도담동,127.2565951,36.51585301
본세종민물장어,,음식,일식/수산물,민물장어전문,세종특별자치시,연서면,127.2794281,36.59516463
리슈빌캐슬공인중개사사무소,,부동산,부동산중개,부동산중개,세종특별자치시,반곡동,127.3076432,36.49929837
프랑,,음식,커피점/카페,커피전문점/카페/다방,세종특별자치시,아름동,127.2433778,36.51221912
선운산풍천장어,,음식,일식/수산물,민물장어전문,세종특별자치시,한솔동,127.2545931,36.48010716
신바다포차,,음식,유흥주점,기타일반유흥주점,세종특별자치시,조치원읍,127.2918996,36.60386392
가마골블루베리농장,,소매,선물/팬시/기념품,꽃집/꽃배달,세종특별자치시,전의면,127.175949,36.60550678
신미불닭,,음식,닭/오리요리,불닭전문,세종특별자치시,고운동,127.2361867,36.52029325
새빛기획,,생활서비스,행사/이벤트,행사대행,세종특별자치시,조치원읍,127.2887821,36.60009634
한성전기,,소매,가정/주방/인테리어,조명기구/전기용품,세종특별자치시,조치원읍,127.3005154,36.59543444
세종식물공장:림야,,소매,선물/팬시/기념품,꽃집/꽃배달,세종특별자치시,대평동,127.2776984,36.47119195
두두본,,음식,커피점/카페,커피전문점/카페/다방,세종특별자치시,나성동,127.2618436,36.48281084
티월드,세종소담직영점,소매,사진/광학/정밀기기소매,핸드폰소매,세종특별자치시,소담동,127.2994024,36.48474057
비타민을담다,,음식,커피점/카페,커피전문점/카페/다방,세종특별자치시,나성동,127.2602441,36.48906442
이마트24,세종대평점,소매,종합소매점,할인점,세종특별자치시,대평동,127.2778001,36.47104837
만세곱창,,음식,한식,곱창/양구이전문,세종특별자치시,도담동,127.258946,36.51284856
에르고아르떼헤어,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,소담동,127.2960514,36.48506332
세종멀티샵,,소매,종합소매점,잡화점,세종특별자치시,보람동,127.2889121,36.47736058
스터닝마켓,,소매,종합소매점,종합소매,세종특별자치시,나성동,127.2576833,36.48606548
설화참숯닭갈비,,음식,닭/오리요리,닭갈비전문,세종특별자치시,조치원읍,127.2911068,36.6037781
다정공인중개사사무소,,부동산,부동산중개,부동산중개,세종특별자치시,나성동,127.2557866,36.49300208
세종부동산114공인중개사사무소,,부동산,부동산중개,부동산중개,세종특별자치시,보람동,127.2883823,36.47671755
비타민공인중개사사무소,,부동산,부동산중개,부동산중개,세종특별자치시,다정동,127.2487168,36.49231791
SJ렌탈컴퍼니,,소매,가정/주방/인테리어,정수기연수기,세종특별자치시,보람동,127.2855748,36.47499746
욜로피씨,,관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,세종특별자치시,보람동,127.2893531,36.477949
록시드갸토세종어반아트리움점,,음식,한식,한식/백반/한정식,세종특별자치시,나성동,127.2602441,36.48906442
본질푸드랩,,음식,분식,국수/만두/칼국수,세종특별자치시,고운동,127.2398446,36.51846011
중흥공인중개사,,부동산,부동산중개,부동산중개,세종특별자치시,아름동,127.2494765,36.51190617
시그니처피자,,음식,패스트푸드,피자전문,세종특별자치시,도담동,127.2611978,36.51086182
가가홈케어,,생활서비스,세탁/가사서비스,청소/소독,세종특별자치시,새롬동,127.2488014,36.48355857
해성부동산,,부동산,부동산중개,부동산중개,세종특별자치시,종촌동,127.2530833,36.50486326
세종인테리어,,소매,가정/주방/인테리어,인테리어/욕실용품/커튼,세종특별자치시,장군면,127.2088469,36.51218436
아리따움,홈플러스세종,소매,화장품소매,화장품판매점,세종특별자치시,어진동,127.2587971,36.50738626
우송종합관리,,생활서비스,세탁/가사서비스,청소/소독,세종특별자치시,조치원읍,127.3017642,36.60195749
커피다비다,,음식,커피점/카페,커피전문점/카페/다방,세종특별자치시,조치원읍,127.2970252,36.6031733
SPC삼립,세종공장,관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,세종특별자치시,금남면,127.2761525,36.41780279
한스밀,,음식,제과제빵떡케익,제과점,세종특별자치시,도담동,127.2660132,36.51637997
세종우리공인중개사,,부동산,부동산중개,부동산중개,세종특별자치시,소담동,127.3044328,36.48132732
공사일오회수산,,음식,한식,한식/백반/한정식,세종특별자치시,조치원읍,127.2968029,36.59318662
조치원인력공사,,생활서비스,인력/고용/용역알선,인력공급/고용알선,세종특별자치시,조치원읍,127.2994302,36.5992582
동양티에스,,소매,가정/주방/인테리어,유리/페인트/철물건축자재,세종특별자치시,연서면,127.2926937,36.57686845
신미정춘천닭갈비,2호점,음식,닭/오리요리,닭갈비전문,세종특별자치시,나성동,127.2570397,36.49035129
크린토피아,세종소담엘시티점,생활서비스,세탁/가사서비스,세탁소/빨래방,세종특별자치시,소담동,127.3044328,36.48132732
세종시전문공인중개사사무소,,부동산,부동산중개,부동산중개,세종특별자치시,연서면,127.2914531,36.5756805
도리도리세종나성점,,음식,한식,한식/백반/한정식,세종특별자치시,나성동,127.2587739,36.49108305
던킨세종다정점,,음식,패스트푸드,패스트푸드,세종특별자치시,나성동,127.2558336,36.49393063
크린토피아,코인워시세종시청점,생활서비스,세탁/가사서비스,세탁소/빨래방,세종특별자치시,보람동,127.2909461,36.47703022
